Trial 0 | Val_accD: 0.4353 | beta1: 0.3576 | lr_g: 0.000141 | lr_d: 0.000308 | lambda_l1: 2.36 | lambda_mse: 4.61 | lambda_fm: 7.93 | ngf: 128 | ndf: 128 | dropout_p: 0.37 
Trial 0 | Val_accD: 0.5010 | beta1: 0.6028 | lr_g: 0.000080 | lr_d: 0.000069 | lambda_l1: 3.11 | lambda_mse: 7.35 | lambda_fm: 0.82 | ngf: 128 | ndf: 128 | dropout_p: 0.49 
Trial 1 | Val_accD: 0.5048 | beta1: 0.4474 | lr_g: 0.000065 | lr_d: 0.000344 | lambda_l1: 0.21 | lambda_mse: 6.88 | lambda_fm: 6.39 | ngf: 128 | ndf: 128 | dropout_p: 0.42 
Trial 2 | Val_accD: 0.5681 | beta1: 0.4156 | lr_g: 0.000077 | lr_d: 0.000234 | lambda_l1: 7.13 | lambda_mse: 5.48 | lambda_fm: 5.56 | ngf: 128 | ndf: 64 | dropout_p: 0.49 
Trial 3 | Val_accD: 0.4952 | beta1: 0.5019 | lr_g: 0.000174 | lr_d: 0.000262 | lambda_l1: 0.55 | lambda_mse: 3.85 | lambda_fm: 2.24 | ngf: 128 | ndf: 64 | dropout_p: 0.39 
Trial 4 | Val_accD: 0.5749 | beta1: 0.6104 | lr_g: 0.000069 | lr_d: 0.000387 | lambda_l1: 7.47 | lambda_mse: 0.76 | lambda_fm: 2.07 | ngf: 128 | ndf: 128 | dropout_p: 0.42 
Trial 5 | Val_accD: 0.5797 | beta1: 0.6772 | lr_g: 0.000085 | lr_d: 0.000196 | lambda_l1: 0.76 | lambda_mse: 8.71 | lambda_fm: 0.02 | ngf: 128 | ndf: 128 | dropout_p: 0.46 
Trial 6 | Val_accD: 0.5259 | beta1: 0.6907 | lr_g: 0.000056 | lr_d: 0.000090 | lambda_l1: 9.21 | lambda_mse: 1.91 | lambda_fm: 2.22 | ngf: 128 | ndf: 128 | dropout_p: 0.43 
Trial 7 | Val_accD: 0.5202 | beta1: 0.3748 | lr_g: 0.000162 | lr_d: 0.000087 | lambda_l1: 6.81 | lambda_mse: 6.13 | lambda_fm: 7.68 | ngf: 128 | ndf: 128 | dropout_p: 0.42 
Trial 8 | Val_accD: 0.4664 | beta1: 0.3640 | lr_g: 0.000063 | lr_d: 0.000202 | lambda_l1: 7.21 | lambda_mse: 7.95 | lambda_fm: 7.48 | ngf: 64 | ndf: 128 | dropout_p: 0.36 
Trial 9 | Val_accD: 0.5441 | beta1: 0.3326 | lr_g: 0.000240 | lr_d: 0.000220 | lambda_l1: 8.63 | lambda_mse: 3.24 | lambda_fm: 4.20 | ngf: 128 | ndf: 64 | dropout_p: 0.36 
Trial 10 | Val_accD: 0.5672 | beta1: 0.6839 | lr_g: 0.000108 | lr_d: 0.000133 | lambda_l1: 3.36 | lambda_mse: 9.83 | lambda_fm: 9.82 | ngf: 64 | ndf: 64 | dropout_p: 0.46 
Trial 11 | Val_accD: 0.5019 | beta1: 0.5912 | lr_g: 0.000107 | lr_d: 0.000489 | lambda_l1: 4.86 | lambda_mse: 0.24 | lambda_fm: 0.42 | ngf: 64 | ndf: 128 | dropout_p: 0.46 
Trial 12 | Val_accD: 0.5384 | beta1: 0.6034 | lr_g: 0.000087 | lr_d: 0.000459 | lambda_l1: 2.13 | lambda_mse: 9.73 | lambda_fm: 2.97 | ngf: 128 | ndf: 128 | dropout_p: 0.40 
Trial 13 | Val_accD: 0.5019 | beta1: 0.5314 | lr_g: 0.000052 | lr_d: 0.000144 | lambda_l1: 5.33 | lambda_mse: 1.22 | lambda_fm: 0.03 | ngf: 128 | ndf: 128 | dropout_p: 0.45 
Trial 14 | Val_accD: 0.5163 | beta1: 0.6470 | lr_g: 0.000136 | lr_d: 0.000340 | lambda_l1: 5.37 | lambda_mse: 3.62 | lambda_fm: 3.85 | ngf: 64 | ndf: 128 | dropout_p: 0.47 
Trial 15 | Val_accD: 0.5192 | beta1: 0.5629 | lr_g: 0.000097 | lr_d: 0.000341 | lambda_l1: 8.23 | lambda_mse: 8.48 | lambda_fm: 1.50 | ngf: 128 | ndf: 128 | dropout_p: 0.44 
Trial 16 | Val_accD: 0.5403 | beta1: 0.6434 | lr_g: 0.000070 | lr_d: 0.000170 | lambda_l1: 9.99 | lambda_mse: 4.77 | lambda_fm: 3.29 | ngf: 128 | ndf: 128 | dropout_p: 0.40 
Trial 17 | Val_accD: 0.4952 | beta1: 0.6473 | lr_g: 0.000296 | lr_d: 0.000117 | lambda_l1: 2.21 | lambda_mse: 2.25 | lambda_fm: 1.70 | ngf: 128 | ndf: 128 | dropout_p: 0.44 
Trial 18 | Val_accD: 0.5528 | beta1: 0.5303 | lr_g: 0.000132 | lr_d: 0.000053 | lambda_l1: 4.20 | lambda_mse: 8.75 | lambda_fm: 1.04 | ngf: 64 | ndf: 64 | dropout_p: 0.48 
Trial 19 | Val_accD: 0.5058 | beta1: 0.4612 | lr_g: 0.000087 | lr_d: 0.000277 | lambda_l1: 1.24 | lambda_mse: 0.46 | lambda_fm: 4.82 | ngf: 128 | ndf: 128 | dropout_p: 0.38 
Trial 20 | Val_accD: 0.4894 | beta1: 0.6968 | lr_g: 0.000059 | lr_d: 0.000178 | lambda_l1: 5.91 | lambda_mse: 4.77 | lambda_fm: 0.02 | ngf: 128 | ndf: 128 | dropout_p: 0.41 
Trial 21 | Val_accD: 0.5019 | beta1: 0.4195 | lr_g: 0.000074 | lr_d: 0.000242 | lambda_l1: 7.18 | lambda_mse: 6.11 | lambda_fm: 5.82 | ngf: 128 | ndf: 64 | dropout_p: 0.50 
Trial 22 | Val_accD: 0.5345 | beta1: 0.4214 | lr_g: 0.000077 | lr_d: 0.000394 | lambda_l1: 6.26 | lambda_mse: 5.82 | lambda_fm: 5.86 | ngf: 128 | ndf: 64 | dropout_p: 0.49 
Trial 23 | Val_accD: 0.4827 | beta1: 0.4741 | lr_g: 0.000095 | lr_d: 0.000284 | lambda_l1: 7.75 | lambda_mse: 3.11 | lambda_fm: 2.63 | ngf: 128 | ndf: 64 | dropout_p: 0.48 
Trial 24 | Val_accD: 0.5029 | beta1: 0.6290 | lr_g: 0.000115 | lr_d: 0.000188 | lambda_l1: 3.92 | lambda_mse: 5.38 | lambda_fm: 5.06 | ngf: 128 | ndf: 64 | dropout_p: 0.46 
Trial 25 | Val_accD: 0.5355 | beta1: 0.3056 | lr_g: 0.000065 | lr_d: 0.000111 | lambda_l1: 6.52 | lambda_mse: 6.84 | lambda_fm: 8.02 | ngf: 128 | ndf: 64 | dropout_p: 0.47 
Trial 26 | Val_accD: 0.4942 | beta1: 0.5651 | lr_g: 0.000083 | lr_d: 0.000224 | lambda_l1: 9.16 | lambda_mse: 4.14 | lambda_fm: 4.02 | ngf: 64 | ndf: 64 | dropout_p: 0.49 
Trial 27 | Val_accD: 0.5000 | beta1: 0.3900 | lr_g: 0.000051 | lr_d: 0.000392 | lambda_l1: 7.37 | lambda_mse: 2.12 | lambda_fm: 1.57 | ngf: 128 | ndf: 128 | dropout_p: 0.45 
Trial 28 | Val_accD: 0.5557 | beta1: 0.6617 | lr_g: 0.000096 | lr_d: 0.000314 | lambda_l1: 8.09 | lambda_mse: 8.85 | lambda_fm: 4.93 | ngf: 128 | ndf: 64 | dropout_p: 0.43 
Trial 29 | Val_accD: 0.5096 | beta1: 0.6109 | lr_g: 0.000075 | lr_d: 0.000155 | lambda_l1: 2.27 | lambda_mse: 7.85 | lambda_fm: 0.78 | ngf: 128 | ndf: 128 | dropout_p: 0.50 
Trial 30 | Val_accD: 0.5029 | beta1: 0.5166 | lr_g: 0.000083 | lr_d: 0.000412 | lambda_l1: 5.63 | lambda_mse: 7.12 | lambda_fm: 7.03 | ngf: 128 | ndf: 128 | dropout_p: 0.49 
Trial 31 | Val_accD: 0.4990 | beta1: 0.6716 | lr_g: 0.000111 | lr_d: 0.000127 | lambda_l1: 4.40 | lambda_mse: 9.90 | lambda_fm: 9.83 | ngf: 64 | ndf: 64 | dropout_p: 0.47 
Trial 32 | Val_accD: 0.5010 | beta1: 0.6760 | lr_g: 0.000152 | lr_d: 0.000141 | lambda_l1: 3.17 | lambda_mse: 9.57 | lambda_fm: 9.90 | ngf: 64 | ndf: 64 | dropout_p: 0.46 
